mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_5,cpu_6,cpu_7
15,12,13536,3880,26,20,21384,5992,10,4,7736,3368,15,10,2856,2664,0.48,0.48,0.45,0.36,0.29,0.3
19,17,6200,7736,22,19,22920,4776,18,14,1288,7480,15,12,256,6200,0.47,0.44,0.43,0.43,0.3,0.29
10,4,5544,2152,20,17,1992,7992,2,0,144,1288,10,4,1096,1064,0.43,0.42,0.42,0.35,0.27,0.27
6,1,1128,1544,3,0,616,904,15,11,5992,1544,15,9,5992,5736,0.44,0.43,0.39,0.38,0.27,0.27
13,7,904,3368,20,18,12576,8760,6,1,4264,176,10,4,3752,1064,0.5,0.37,0.37,0.35,0.27,0.26
18,14,6456,2856,8,4,6456,3368,19,17,17568,5736,22,19,2792,3624,0.48,0.47,0.39,0.36,0.28,0.28
20,18,7480,13536,15,10,6200,3368,24,20,25456,7480,26,20,19848,18336,0.64,0.54,0.5,0.4,0.35,0.35
10,4,7480,2792,15,10,1416,6200,24,20,3752,1992,25,20,28336,1160,0.45,0.44,0.43,0.35,0.28,0.28
11,6,5736,2728,4,0,2728,88,20,17,17568,11832,13,7,5544,3624,0.59,0.41,0.41,0.34,0.3,0.29
10,4,7992,632,13,8,11448,256,7,2,5160,1544,7,2,2216,328,0.43,0.38,0.37,0.33,0.25,0.25
22,19,904,4392,8,4,1384,2664,15,11,14112,8504,6,1,328,1256,0.54,0.43,0.41,0.36,0.29,0.29
15,12,11448,4264,25,20,11448,6200,22,19,6968,9144,15,9,8760,4968,0.45,0.45,0.44,0.44,0.3,0.3
20,17,4776,10296,15,12,7224,9144,7,2,840,1736,7,2,4008,1672,0.53,0.48,0.44,0.42,0.31,0.31
20,18,12576,4968,19,17,14688,13536,22,19,12576,1416,22,19,5160,336,0.58,0.43,0.4,0.33,0.29,0.29
18,14,14688,3624,13,7,8248,3624,19,17,696,7736,20,18,8760,2280,0.44,0.43,0.42,0.38,0.28,0.28
13,8,4968,4008,5,0,424,1032,13,8,4776,3624,4,0,696,872,0.41,0.4,0.4,0.4,0.27,0.27
15,9,8760,1864,4,0,2344,424,25,20,6968,17568,11,6,3112,1864,0.55,0.39,0.38,0.37,0.29,0.28
4,0,552,648,2,0,1672,936,22,19,12960,8760,26,20,21384,4776,0.48,0.45,0.44,0.39,0.29,0.3
5,0,2984,616,22,19,19848,11832,19,17,16992,11832,20,18,18336,14688,0.62,0.58,0.56,0.42,0.36,0.37
13,7,3624,2472,5,0,2536,1160,2,0,328,16,10,4,1416,3112,0.43,0.41,0.37,0.27,0.24,0.25
18,14,4968,3112,5,0,504,1320,4,0,2408,744,5,0,2536,680,0.42,0.42,0.41,0.37,0.27,0.27
24,20,7992,3112,7,2,1800,776,20,18,10296,9144,11,6,6968,808,0.48,0.38,0.37,0.37,0.27,0.26
26,20,2408,4008,25,20,11448,19080,15,11,7736,5160,10,4,1864,3368,0.6,0.46,0.45,0.38,0.32,0.31
15,12,6968,4776,5,0,3752,808,24,20,6456,3624,25,20,16416,18336,0.61,0.43,0.42,0.37,0.31,0.3
6,1,2984,1384,5,0,2856,1032,15,9,9912,2024,15,9,12576,6456,0.5,0.43,0.43,0.39,0.29,0.29
10,4,1544,2600,15,11,14112,6200,7,2,5544,2216,8,2,2984,1480,0.51,0.46,0.42,0.42,0.3,0.3
6,1,3752,1800,19,17,336,6456,18,14,10296,6712,10,4,4968,1544,0.47,0.46,0.41,0.39,0.29,0.29
26,20,23688,16992,8,2,6968,1800,25,20,22152,4392,22,19,22152,6456,0.63,0.49,0.47,0.47,0.35,0.34
8,2,1384,1064,8,4,1256,840,25,20,12576,12576,26,20,2984,9912,0.51,0.44,0.38,0.35,0.28,0.28
10,4,1416,3112,22,19,4584,14688,7,2,968,1320,13,8,8760,536,0.53,0.43,0.39,0.37,0.29,0.28
19,17,696,8760,13,7,4968,3112,22,19,904,11448,24,20,4264,2792,0.45,0.44,0.4,0.35,0.27,0.27
10,4,3624,1736,8,2,5160,1800,7,2,1672,2088,15,10,12216,4584,0.46,0.45,0.44,0.4,0.29,0.29
19,17,17568,9528,13,8,4392,5544,8,2,3496,1544,19,17,4392,15264,0.54,0.54,0.46,0.44,0.33,0.33
8,4,680,3240,10,4,6200,1800,18,15,14688,12960,25,20,6200,18336,0.59,0.56,0.44,0.43,0.34,0.34
18,15,5544,840,6,1,1128,1192,15,11,6200,7480,4,0,1544,1032,0.48,0.43,0.4,0.34,0.28,0.28
18,14,1288,2280,15,11,10680,3752,3,0,1256,1352,2,0,2216,256,0.44,0.43,0.37,0.33,0.26,0.26
25,20,2280,9528,6,1,504,328,6,1,3496,1352,15,10,2280,7736,0.47,0.44,0.43,0.32,0.27,0.28
8,4,3240,2344,8,2,4264,1544,4,0,2792,32,13,7,6712,2472,0.43,0.4,0.39,0.32,0.26,0.26
10,4,6968,3240,11,6,3368,2792,6,1,1992,968,22,19,16992,10680,0.54,0.48,0.4,0.4,0.3,0.3
2,0,1544,712,13,7,5992,6200,15,10,2600,7480,10,4,7480,1928,0.48,0.47,0.44,0.43,0.3,0.3
11,6,7480,4968,25,20,7992,10680,20,18,6712,15840,13,7,208,328,0.55,0.48,0.48,0.29,0.3,0.31
24,20,25456,8760,18,14,14688,2024,25,20,25456,10296,25,20,6200,13536,0.55,0.51,0.51,0.42,0.33,0.33
25,20,6200,16416,15,10,1736,3496,20,18,14112,16416,15,9,8248,4136,0.6,0.55,0.41,0.38,0.32,0.32
25,20,25456,3112,8,2,5352,1544,22,19,20616,11832,22,19,4584,12960,0.56,0.5,0.45,0.45,0.33,0.33
22,19,8248,7224,22,19,18336,1064,6,1,504,1672,22,19,11064,6200,0.43,0.43,0.42,0.41,0.28,0.28
20,17,776,600,18,15,5992,11832,18,15,12576,13536,26,20,5544,10296,0.57,0.53,0.47,0.33,0.31,0.32
8,2,3496,1672,11,6,5544,1672,13,7,9528,6200,6,1,5160,1064,0.49,0.44,0.42,0.39,0.29,0.29
15,9,8248,6968,13,8,7992,5736,7,2,104,696,18,15,11064,11448,0.57,0.48,0.47,0.35,0.31,0.31
13,7,7992,4968,6,1,3368,1736,18,15,7224,5544,11,6,144,3880,0.47,0.45,0.43,0.4,0.29,0.29
15,10,12576,7224,18,14,14112,11064,20,18,4776,3240,8,4,2536,2216,0.58,0.54,0.41,0.38,0.32,0.32
25,20,23688,13536,7,2,3112,1608,2,0,1608,1096,11,6,5736,1992,0.58,0.44,0.43,0.41,0.31,0.3
19,17,2152,600,24,20,6968,11448,15,9,14112,296,8,2,3240,1096,0.47,0.38,0.38,0.32,0.26,0.26
15,12,1416,9528,8,2,4392,1256,10,4,296,208,18,15,4584,3112,0.49,0.41,0.38,0.28,0.26,0.26
15,11,14112,3112,20,17,17568,12576,3,0,2664,936,3,0,256,152,0.6,0.45,0.43,0.3,0.3,0.3
18,15,2984,4008,15,10,1416,7480,25,20,5736,7224,18,15,632,9528,0.46,0.46,0.42,0.37,0.28,0.29
22,19,7480,11064,4,0,328,1032,15,11,6456,504,24,20,15264,12960,0.53,0.49,0.4,0.35,0.29,0.29
10,4,1096,1416,15,11,7992,5736,22,19,16992,11832,13,7,6200,4136,0.54,0.49,0.43,0.36,0.3,0.3
10,4,7992,1928,10,4,6968,3496,13,8,7480,5160,2,0,1864,1000,0.47,0.47,0.44,0.42,0.3,0.3
20,18,19848,632,22,19,11448,18336,20,18,16992,12960,26,20,14688,6200,0.6,0.58,0.47,0.42,0.34,0.35
26,20,24496,15264,5,0,1672,568,15,9,11064,6712,13,8,6200,4968,0.61,0.5,0.44,0.4,0.33,0.32
2,0,776,208,25,20,22152,19080,20,18,15264,7480,20,17,1544,6968,0.64,0.49,0.39,0.32,0.31,0.31
25,20,16416,2792,3,0,208,224,5,0,2856,936,8,4,2792,2792,0.42,0.42,0.42,0.3,0.25,0.26
25,20,12576,6712,20,17,18336,13536,15,11,5992,1384,24,20,14688,3624,0.61,0.45,0.4,0.38,0.31,0.3
2,0,2216,648,19,17,3624,6456,8,2,5544,1800,13,8,8504,3240,0.45,0.43,0.42,0.41,0.29,0.28
25,20,1128,3112,7,2,2088,32,19,17,16416,11832,3,0,744,1000,0.56,0.41,0.35,0.29,0.27,0.27
4,0,3112,968,25,20,20616,3112,15,11,11064,1928,7,2,4008,936,0.43,0.43,0.41,0.4,0.28,0.28
4,0,2792,504,25,20,14112,11832,15,12,3752,7992,3,0,2472,16,0.52,0.49,0.4,0.32,0.29,0.29
8,4,4008,632,6,1,3368,1352,20,18,3624,9912,11,6,3880,4264,0.46,0.44,0.44,0.37,0.28,0.29
15,10,11064,6968,7,2,3496,648,20,18,6200,5992,6,1,4968,808,0.52,0.43,0.42,0.39,0.3,0.29
20,18,11832,12216,13,7,1608,2792,26,20,25456,7480,13,7,4584,1928,0.56,0.51,0.37,0.37,0.3,0.3
20,18,12216,12960,8,4,5992,3112,15,9,6200,4264,5,0,3112,256,0.56,0.47,0.42,0.36,0.3,0.3
22,19,5544,16416,18,15,6456,5160,15,11,1992,4008,20,18,9528,7992,0.56,0.46,0.41,0.39,0.31,0.3
20,17,17568,3368,3,0,1096,616,10,4,616,2792,15,10,5992,4584,0.44,0.43,0.41,0.4,0.28,0.28
