mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,mcs_dl_3,mcs_ul_3,dl_kbps_3,ul_kbps_3,mcs_dl_4,mcs_ul_4,dl_kbps_4,ul_kbps_4,cpu_1,cpu_2,cpu_3,cpu_5,cpu_6,cpu_7
15,12,13536,5544,24,20,9144,4776,26,20,4264,2344,10,4,6200,2280,0.48,0.44,0.4,0.36,0.28,0.28
5,0,3496,712,10,4,1544,1000,26,20,16992,1992,8,2,2536,256,0.43,0.41,0.34,0.32,0.25,0.25
5,0,1032,712,10,4,136,776,8,2,5160,872,11,6,3880,176,0.41,0.38,0.32,0.31,0.24,0.23
18,14,11064,6968,11,6,1384,4584,24,20,10680,15264,11,6,6712,5160,0.55,0.49,0.48,0.45,0.33,0.33
5,0,4136,680,18,14,15840,744,7,2,1096,776,15,10,11064,5352,0.45,0.42,0.4,0.38,0.28,0.28
26,20,5544,10680,25,20,5160,3112,13,8,9528,2344,13,8,5352,1672,0.46,0.4,0.36,0.36,0.27,0.26
11,6,4008,3624,8,4,4264,1064,25,20,4584,5544,15,12,14112,2216,0.42,0.42,0.4,0.39,0.27,0.27
20,18,4392,5160,13,8,10680,2536,5,0,3368,680,13,7,11064,4968,0.47,0.43,0.42,0.4,0.29,0.29
13,8,904,2216,22,19,16416,1416,18,14,16416,9528,13,8,8504,808,0.55,0.41,0.39,0.35,0.29,0.28
24,20,4776,9912,15,12,7224,776,19,17,11832,3624,18,15,3880,9144,0.47,0.43,0.43,0.38,0.28,0.29
15,9,9912,1736,15,11,552,6200,13,7,9912,5736,25,20,23688,11832,0.56,0.5,0.44,0.4,0.32,0.32
3,0,40,1160,6,1,328,936,24,20,12576,11448,15,10,3112,4264,0.5,0.41,0.4,0.39,0.29,0.28
15,11,6968,7992,3,0,1736,152,13,8,5544,4968,26,20,2984,7480,0.53,0.44,0.41,0.34,0.29,0.29
8,4,2088,488,24,20,22152,776,7,2,3368,568,20,18,6200,11064,0.51,0.41,0.37,0.33,0.27,0.27
13,7,1800,2664,19,17,4776,7992,18,15,9912,9912,20,17,11448,6968,0.52,0.47,0.44,0.38,0.3,0.3
18,15,6200,6456,22,19,1864,9528,11,6,1928,1032,10,4,1544,2856,0.44,0.42,0.41,0.36,0.27,0.27
8,4,6456,776,13,8,4776,4968,4,0,2792,1064,10,4,4136,2152,0.44,0.44,0.41,0.39,0.28,0.28
10,4,6968,1928,2,0,744,256,26,20,27376,18336,26,20,11448,15264,0.64,0.56,0.43,0.34,0.33,0.33
24,20,12576,9144,24,20,7992,11064,5,0,4264,152,20,18,7224,5992,0.47,0.47,0.43,0.36,0.29,0.29
15,10,8504,3112,13,7,10680,2344,13,7,8760,2536,15,10,9528,2024,0.42,0.41,0.41,0.4,0.27,0.27
15,9,12576,3496,8,4,4968,1928,25,20,15264,9528,15,12,840,7480,0.5,0.46,0.43,0.42,0.3,0.3
25,20,2856,7480,15,11,14112,4264,6,1,256,1416,15,12,9144,5544,0.46,0.46,0.42,0.39,0.29,0.29
19,17,9144,8248,22,19,9144,6456,11,6,328,4584,25,20,2280,6200,0.47,0.45,0.43,0.4,0.29,0.29
8,2,3752,2216,15,11,2856,7736,15,10,9912,6712,11,6,7992,5160,0.52,0.49,0.48,0.46,0.33,0.32
6,1,808,1800,15,10,13536,4392,13,7,7736,1096,8,4,120,2856,0.45,0.42,0.41,0.37,0.27,0.27
15,9,6456,5160,18,14,10296,4968,24,20,27376,776,11,6,6200,5160,0.48,0.45,0.44,0.43,0.3,0.3
6,1,3880,1064,2,0,696,680,18,14,6200,2536,15,10,7480,1544,0.42,0.39,0.38,0.37,0.26,0.26
15,9,12960,6968,19,17,5352,904,15,12,9912,376,15,12,10296,5992,0.51,0.48,0.38,0.35,0.29,0.29
18,14,5544,2024,8,4,5736,2984,15,12,8248,9912,15,10,13536,616,0.54,0.45,0.39,0.38,0.3,0.29
7,2,2216,1608,15,12,4968,6968,4,0,2216,1096,15,10,4968,2984,0.48,0.45,0.41,0.39,0.29,0.29
2,0,744,88,20,17,16416,15264,10,4,6712,1128,24,20,9528,12576,0.61,0.51,0.41,0.3,0.3,0.3
15,10,8248,2024,2,0,328,1096,10,4,2856,776,4,0,1736,392,0.41,0.38,0.36,0.35,0.25,0.25
15,10,10680,4968,4,0,1992,120,15,10,1736,7480,7,2,6200,1800,0.47,0.46,0.45,0.32,0.28,0.29
8,4,3752,56,13,7,11064,840,8,4,680,2472,26,20,2984,12960,0.49,0.4,0.38,0.32,0.27,0.27
19,17,15840,12216,5,0,2280,504,20,18,19080,8504,13,8,2984,2792,0.58,0.53,0.39,0.37,0.31,0.31
18,14,14112,4392,8,4,6456,1864,22,19,1384,9144,15,12,11448,7992,0.53,0.46,0.43,0.42,0.31,0.31
4,0,632,1256,20,18,1992,7480,6,1,3624,872,26,20,11064,18336,0.59,0.43,0.41,0.41,0.31,0.3
19,17,11448,13536,2,0,840,56,19,17,10296,4584,10,4,2856,1000,0.57,0.43,0.36,0.29,0.28,0.27
4,0,1000,1224,15,12,14112,9528,6,1,328,600,20,17,5160,12960,0.58,0.53,0.43,0.36,0.32,0.32
8,4,1544,3112,5,0,504,776,4,0,2792,32,8,2,4264,2024,0.45,0.42,0.38,0.31,0.26,0.26
5,0,2280,176,18,14,7736,9912,18,14,12576,6456,8,4,4584,2408,0.51,0.46,0.43,0.34,0.29,0.29
11,6,8760,1032,6,1,4968,1288,4,0,2280,1256,3,0,1096,680,0.44,0.43,0.39,0.39,0.28,0.28
18,15,3240,3496,20,17,14112,4264,10,4,1544,1864,15,12,6200,2984,0.44,0.4,0.39,0.37,0.27,0.26
20,18,5544,15840,15,10,11832,2344,15,12,840,8248,18,14,7992,224,0.54,0.47,0.41,0.36,0.3,0.3
20,17,10296,8248,5,0,328,456,13,8,904,1800,10,4,6712,2664,0.47,0.45,0.36,0.33,0.27,0.27
20,18,1544,4264,3,0,328,16,4,0,2664,504,2,0,2088,616,0.42,0.39,0.35,0.27,0.24,0.24
19,17,336,7736,19,17,10296,9144,22,19,6968,336,10,4,2984,1928,0.49,0.41,0.4,0.35,0.27,0.27
4,0,256,1320,8,2,5544,2216,11,6,6200,392,10,4,2216,1064,0.46,0.4,0.35,0.34,0.26,0.26
15,9,6968,5736,15,9,12216,3368,5,0,3112,424,7,2,5352,1256,0.46,0.43,0.42,0.39,0.28,0.28
3,0,1544,392,2,0,1320,152,15,12,7224,1800,26,20,1192,16416,0.53,0.38,0.37,0.32,0.27,0.26
13,8,8248,4264,20,17,1544,4584,13,7,6712,1480,11,6,6456,1128,0.44,0.39,0.37,0.37,0.26,0.26
8,4,392,208,8,4,256,1608,13,8,9144,4776,11,6,1544,2216,0.46,0.37,0.36,0.28,0.24,0.24
5,0,1224,176,13,8,6200,3112,10,4,4008,3112,19,17,18336,2152,0.44,0.43,0.4,0.33,0.26,0.27
15,9,9144,6712,6,1,4264,1480,8,4,2984,2152,26,20,16416,9912,0.51,0.49,0.46,0.42,0.31,0.31
3,0,2856,344,13,7,8504,328,11,6,4008,4264,22,19,1384,2536,0.45,0.38,0.36,0.34,0.26,0.25
15,9,13536,6968,18,14,7480,10680,13,8,7224,4008,3,0,2728,1320,0.53,0.52,0.47,0.43,0.33,0.33
25,20,4008,10296,15,9,6456,7480,8,4,5544,328,3,0,40,1224,0.48,0.45,0.42,0.36,0.29,0.29
15,10,9144,4392,15,11,12216,5992,18,14,328,7224,15,11,7736,328,0.5,0.45,0.42,0.36,0.29,0.29
15,12,11064,1608,13,8,3368,5736,18,14,8504,2536,2,0,328,88,0.43,0.4,0.4,0.29,0.25,0.26
18,15,11832,13536,3,0,1864,1288,24,20,23688,15840,5,0,1032,1288,0.62,0.57,0.46,0.43,0.35,0.35
24,20,7480,12960,20,18,7480,2280,25,20,1128,9144,15,10,1128,4264,0.5,0.41,0.39,0.38,0.28,0.28
26,20,6712,4392,2,0,1416,1064,24,20,15840,7992,15,12,6200,584,0.46,0.43,0.39,0.36,0.27,0.27
13,8,5352,3880,4,0,1800,1064,18,15,15840,7992,4,0,632,424,0.51,0.44,0.41,0.37,0.29,0.29
18,15,7736,14112,10,4,4264,3240,6,1,3368,1608,19,17,9912,5544,0.57,0.46,0.46,0.45,0.33,0.32
13,8,7480,3880,6,1,4264,600,15,9,10680,7736,25,20,552,14112,0.5,0.49,0.43,0.4,0.3,0.3
18,15,3240,5992,20,18,17568,328,18,14,12216,488,3,0,1544,776,0.41,0.4,0.38,0.38,0.26,0.26
25,20,552,15264,13,7,4136,1928,2,0,1992,1288,22,19,22152,16992,0.65,0.51,0.47,0.38,0.34,0.33
5,0,4008,376,25,20,7992,10680,25,20,22920,2344,13,8,8760,536,0.47,0.42,0.39,0.37,0.27,0.27
10,4,6968,2792,3,0,1416,1256,10,4,1416,1736,15,12,12216,2600,0.45,0.44,0.42,0.37,0.28,0.28
5,0,680,840,15,12,4264,4264,22,19,20616,7480,22,19,18336,10296,0.53,0.5,0.41,0.4,0.31,0.31
4,0,840,288,20,18,11832,968,13,8,3624,5736,18,15,7736,14112,0.56,0.45,0.39,0.34,0.29,0.29
13,7,3368,5352,8,2,6456,1608,2,0,696,288,15,11,4264,4584,0.45,0.45,0.41,0.34,0.27,0.28
20,18,1160,10296,20,17,5544,11064,24,20,17568,10296,10,4,1736,3496,0.51,0.51,0.45,0.45,0.32,0.32
22,19,14688,17568,8,2,5992,840,7,2,5992,1736,25,20,552,4392,0.6,0.45,0.41,0.36,0.31,0.3
2,0,1192,288,18,14,15264,6456,6,1,328,1064,20,18,8760,15840,0.57,0.49,0.39,0.35,0.3,0.3
24,20,14688,19080,2,0,296,152,10,4,776,2088,15,11,4008,872,0.59,0.38,0.33,0.29,0.26,0.27
5,0,1224,968,15,11,8504,4776,18,14,13536,7736,24,20,9528,4392,0.51,0.43,0.42,0.41,0.3,0.29
3,0,104,424,7,2,4968,1160,15,10,7480,1736,15,9,12576,7992,0.51,0.42,0.39,0.35,0.28,0.28
4,0,3624,224,20,17,6200,1224,26,20,22152,4776,6,1,3368,872,0.45,0.4,0.37,0.35,0.26,0.26
15,11,4008,2984,3,0,2280,1224,3,0,2792,424,15,10,13536,296,0.45,0.4,0.39,0.38,0.27,0.27
15,10,6968,6968,4,0,1864,1160,19,17,13536,5544,8,2,392,520,0.48,0.47,0.44,0.33,0.28,0.29
8,4,2792,120,15,11,5736,3880,4,0,840,1224,10,4,2536,2152,0.41,0.41,0.4,0.31,0.25,0.26
4,0,256,744,15,11,6200,2792,13,7,3624,2984,13,8,6456,5160,0.45,0.39,0.39,0.38,0.27,0.27
18,14,1288,2856,2,0,1992,712,3,0,392,1192,6,1,1224,1128,0.41,0.41,0.4,0.34,0.26,0.26
15,10,4008,2216,6,1,2728,744,19,17,14112,4968,15,12,840,9912,0.49,0.45,0.41,0.36,0.28,0.28
22,19,5544,17568,15,10,8248,136,22,19,16992,696,26,20,11064,3112,0.55,0.4,0.4,0.34,0.29,0.28
2,0,1320,88,25,20,6200,16992,2,0,776,904,8,4,6712,3496,0.55,0.48,0.41,0.32,0.29,0.29
22,19,16992,4392,8,2,6968,1864,13,8,3368,4968,19,17,9528,13536,0.56,0.47,0.44,0.42,0.32,0.31
8,4,4968,552,15,9,12216,4392,25,20,28336,18336,8,2,2664,2216,0.64,0.44,0.44,0.37,0.32,0.31
18,15,3240,10680,15,10,12216,4008,26,20,15840,9528,10,4,3368,1736,0.51,0.49,0.45,0.4,0.31,0.31
6,1,504,1608,19,17,10680,5160,10,4,6712,1928,19,17,13536,7736,0.49,0.43,0.43,0.43,0.3,0.29
20,18,16992,12960,13,7,1608,5352,2,0,696,328,5,0,3624,568,0.59,0.44,0.42,0.35,0.3,0.3
13,7,10680,472,24,20,16416,11832,13,8,11064,3496,18,15,13536,256,0.53,0.43,0.4,0.37,0.29,0.29
15,9,5992,7224,3,0,2792,1224,10,4,4776,776,10,4,2216,1864,0.48,0.48,0.39,0.37,0.29,0.29
15,12,13536,3880,24,20,15264,4008,7,2,3368,2216,15,9,3112,4136,0.45,0.45,0.43,0.39,0.29,0.29
15,10,14112,2856,20,17,8760,12960,13,8,680,2984,15,10,552,296,0.57,0.43,0.37,0.3,0.28,0.28
26,20,14688,18336,15,12,6200,5992,10,4,1544,1736,24,20,19848,5544,0.61,0.47,0.46,0.37,0.32,0.32
26,20,5544,5992,18,14,1928,8760,4,0,2216,288,19,17,16992,6200,0.48,0.45,0.4,0.36,0.28,0.28
26,20,26416,19848,6,1,1224,520,8,2,3240,376,7,2,5736,1416,0.65,0.43,0.36,0.34,0.3,0.29
15,10,8504,6968,3,0,256,1320,24,20,19080,2792,20,17,15840,11832,0.58,0.49,0.44,0.41,0.32,0.32
3,0,2472,1320,5,0,600,1064,15,12,11064,9528,15,12,5544,3880,0.55,0.45,0.42,0.41,0.31,0.3
13,8,4392,536,5,0,2728,1064,7,2,2536,176,15,9,1736,2344,0.44,0.35,0.33,0.32,0.24,0.24
15,10,5736,5992,15,10,12216,6456,11,6,8760,1672,15,12,9144,1000,0.51,0.47,0.42,0.39,0.3,0.3
15,10,840,616,7,2,3112,1256,15,10,5736,7224,15,9,4584,6712,0.49,0.46,0.41,0.31,0.28,0.28
13,8,5992,968,22,19,17568,4008,8,4,1384,904,10,4,3112,1608,0.44,0.38,0.35,0.34,0.25,0.25
6,1,1480,1544,15,9,11064,7480,25,20,19080,14688,25,20,16992,4008,0.58,0.51,0.44,0.42,0.33,0.33
15,9,3752,3112,24,20,23688,12216,6,1,504,56,2,0,1288,1032,0.55,0.43,0.37,0.28,0.27,0.27
15,10,11064,4264,18,15,14688,6200,19,17,11448,600,18,14,6200,7992,0.47,0.47,0.45,0.39,0.29,0.3
18,15,968,5992,18,15,12576,6968,5,0,2280,120,22,19,16992,12216,0.55,0.48,0.39,0.32,0.29,0.29
15,10,8248,5544,15,11,4968,8248,2,0,936,32,15,10,5992,6200,0.49,0.47,0.47,0.3,0.28,0.29
15,12,1992,6712,4,0,3112,744,4,0,1800,616,8,4,6456,120,0.45,0.42,0.4,0.34,0.27,0.27
4,0,3240,456,26,20,19848,7480,20,18,1992,4264,3,0,2280,1000,0.48,0.42,0.4,0.37,0.28,0.28
15,12,552,4968,24,20,25456,4392,20,18,19080,13536,10,4,4264,3112,0.62,0.46,0.45,0.4,0.33,0.32
26,20,16992,16416,4,0,3112,1288,8,2,2216,776,20,17,14112,7992,0.6,0.49,0.46,0.38,0.32,0.32
8,4,3112,2792,5,0,2536,1000,15,10,6968,2344,2,0,1736,744,0.43,0.42,0.41,0.38,0.27,0.27
20,17,7224,6456,10,4,2984,328,15,12,6200,176,19,17,6712,3368,0.43,0.38,0.34,0.32,0.25,0.24
15,12,7736,1192,20,17,6712,2728,2,0,1160,208,22,19,22152,2856,0.43,0.38,0.36,0.32,0.25,0.25
6,1,2600,1544,18,14,14112,7992,8,2,2984,872,19,17,9144,10296,0.51,0.5,0.43,0.39,0.3,0.31
22,19,1384,5160,13,8,11064,1672,15,10,9912,4968,15,11,5992,5352,0.47,0.44,0.4,0.38,0.28,0.28
24,20,7480,14112,8,4,256,3368,18,14,16416,7736,5,0,3752,456,0.52,0.51,0.43,0.4,0.31,0.31
22,19,22152,9912,15,9,12576,5736,15,12,1416,3496,10,4,2216,408,0.52,0.48,0.37,0.33,0.28,0.28
13,8,4968,4776,18,14,8504,10680,5,0,2792,208,3,0,2088,504,0.54,0.42,0.39,0.35,0.29,0.28
2,0,1064,1256,6,1,4584,1064,26,20,11448,14688,11,6,4392,3368,0.54,0.45,0.42,0.42,0.31,0.3
15,10,1736,3752,19,17,15264,6712,2,0,776,152,15,9,2600,776,0.47,0.37,0.31,0.3,0.25,0.24
11,6,680,4008,8,2,2984,776,24,20,7992,12960,2,0,1320,1032,0.51,0.43,0.42,0.39,0.29,0.29
4,0,56,776,19,17,6200,8248,13,7,4968,4584,20,18,14112,2600,0.45,0.43,0.42,0.39,0.28,0.28
19,17,11448,3368,8,4,6968,1736,10,4,616,120,22,19,19848,6456,0.47,0.42,0.4,0.28,0.26,0.26
2,0,968,1064,26,20,6712,2792,19,17,11064,15264,10,4,2024,2792,0.57,0.42,0.42,0.37,0.3,0.3
8,2,968,776,6,1,2728,424,25,20,6200,15264,8,2,3496,1864,0.52,0.43,0.36,0.36,0.28,0.28
15,12,11448,3496,22,19,22152,14112,13,7,7736,3368,18,15,6712,9912,0.63,0.52,0.44,0.44,0.34,0.33
8,4,5352,1544,26,20,24496,12216,18,14,2984,1000,18,15,968,11448,0.56,0.48,0.41,0.34,0.3,0.3
15,10,3112,7480,6,1,1480,1608,13,7,2472,2536,7,2,5352,696,0.48,0.43,0.4,0.37,0.28,0.28
8,4,3624,1736,13,7,5544,4968,5,0,3112,256,20,18,2344,12960,0.51,0.46,0.4,0.36,0.29,0.29
10,4,3624,3624,26,20,7224,13536,20,18,4008,968,15,9,1128,5544,0.51,0.44,0.42,0.34,0.28,0.28
10,4,5992,328,20,17,15840,2472,15,12,10680,9528,22,19,12216,4776,0.56,0.43,0.43,0.36,0.3,0.29
11,6,5736,1032,13,8,8504,6456,18,15,9144,5736,6,1,1864,176,0.48,0.44,0.38,0.33,0.27,0.27
3,0,2536,568,3,0,1992,32,15,12,6968,4008,22,19,21384,10296,0.53,0.42,0.4,0.31,0.28,0.28
18,15,11832,11832,8,4,5544,1000,5,0,4392,1128,8,2,2216,1672,0.58,0.45,0.42,0.41,0.31,0.31
3,0,1800,712,26,20,14688,14112,26,20,22920,16416,19,17,696,11448,0.62,0.55,0.48,0.41,0.34,0.34
18,14,9144,1544,19,17,5736,13536,20,17,3112,9528,6,1,176,568,0.55,0.48,0.39,0.35,0.3,0.29
10,4,1256,56,26,20,24496,14112,13,8,7736,1928,7,2,5160,1608,0.59,0.43,0.38,0.29,0.28,0.28
18,15,3624,12216,8,2,536,840,8,4,4392,3112,19,17,12576,12576,0.56,0.52,0.45,0.37,0.32,0.32
6,1,2728,88,18,14,5992,1000,15,9,4264,4008,15,11,10680,1224,0.38,0.38,0.36,0.32,0.24,0.24
13,7,6968,2664,24,20,21384,6200,15,11,9912,2664,18,15,4584,8248,0.47,0.46,0.41,0.4,0.29,0.29
5,0,1672,1032,18,15,15264,11064,7,2,1096,1288,11,6,8504,1224,0.57,0.42,0.4,0.39,0.3,0.29
26,20,28336,8248,10,4,1544,552,8,4,5352,2088,6,1,808,176,0.5,0.42,0.34,0.3,0.26,0.26
19,17,7992,3368,5,0,2664,120,8,2,3496,72,15,9,2600,3752,0.38,0.37,0.33,0.31,0.23,0.23
20,17,18336,3624,7,2,2088,1608,2,0,1192,1096,26,20,25456,9912,0.52,0.44,0.43,0.41,0.3,0.3
15,12,12960,7224,4,0,3368,288,26,20,7992,4776,5,0,3752,1352,0.51,0.46,0.39,0.38,0.29,0.29
25,20,7480,12960,24,20,3240,16992,19,17,13536,2472,20,17,14688,12576,0.56,0.53,0.5,0.41,0.33,0.34
15,12,9528,2792,15,9,1992,7480,22,19,5544,11064,8,4,6200,256,0.48,0.45,0.42,0.36,0.28,0.29
18,15,14112,7480,20,17,12960,15264,13,8,4392,6456,11,6,7992,4136,0.59,0.51,0.48,0.48,0.34,0.34
18,15,11832,2600,15,11,7224,5544,13,7,6712,2344,6,1,808,520,0.45,0.42,0.4,0.35,0.27,0.27
20,17,19080,9144,18,14,13536,2856,15,12,6456,7224,8,4,4584,3368,0.55,0.5,0.48,0.43,0.33,0.33
19,17,15840,4264,22,19,4136,10680,15,11,8504,2280,18,15,1608,6200,0.46,0.44,0.39,0.39,0.28,0.28
4,0,3496,776,15,11,12960,4392,13,8,4584,392,15,9,1128,1096,0.44,0.43,0.33,0.33,0.26,0.25
13,8,5736,3112,22,19,16992,3624,20,18,4776,12216,15,9,8760,936,0.5,0.43,0.4,0.38,0.29,0.28
4,0,1128,1000,20,18,4008,7992,2,0,1864,1224,4,0,1128,1032,0.45,0.43,0.41,0.41,0.28,0.28
19,17,11064,6712,10,4,456,1192,25,20,26416,13536,4,0,632,376,0.59,0.47,0.35,0.35,0.29,0.29
18,14,10680,6200,10,4,5992,3112,19,17,3624,4968,15,11,6200,872,0.47,0.46,0.4,0.36,0.28,0.28
5,0,1672,88,15,9,8504,3112,15,10,3752,1256,19,17,9528,6456,0.45,0.39,0.35,0.3,0.25,0.25
24,20,6968,11064,5,0,3240,680,22,19,1864,2536,3,0,504,616,0.45,0.42,0.38,0.34,0.27,0.27
4,0,488,456,7,2,224,32,13,7,8248,2472,6,1,2472,1160,0.41,0.4,0.36,0.26,0.24,0.24
13,7,7224,4264,26,20,22920,9528,15,9,552,1256,20,17,17568,8504,0.54,0.52,0.44,0.31,0.3,0.3
18,14,14112,12576,11,6,4584,3240,10,4,2984,1928,10,4,456,1800,0.56,0.44,0.42,0.38,0.3,0.3
8,4,4968,2088,8,4,6968,2088,20,18,5160,15840,25,20,12576,11064,0.55,0.51,0.44,0.43,0.32,0.32
8,2,2664,520,24,20,10296,15264,20,18,15840,13536,15,9,3752,6968,0.6,0.55,0.47,0.37,0.33,0.33
4,0,3240,16,15,10,1736,5352,20,17,8248,4008,8,2,2216,144,0.43,0.41,0.32,0.31,0.24,0.24
15,11,3112,6712,7,2,712,328,15,11,8248,3112,18,15,7992,1992,0.45,0.41,0.4,0.3,0.26,0.26
13,7,5352,2792,3,0,2408,288,10,4,936,2408,18,15,15840,2280,0.42,0.4,0.4,0.37,0.26,0.26
25,20,22920,1992,8,4,6200,1480,3,0,968,776,26,20,3624,8760,0.42,0.41,0.4,0.4,0.27,0.27
7,2,1224,2088,3,0,104,392,13,7,6456,2216,22,19,9144,5736,0.42,0.41,0.38,0.34,0.26,0.26
2,0,1064,600,19,17,2856,280,19,17,7480,11448,15,11,12216,5544,0.52,0.49,0.41,0.33,0.29,0.29
2,0,968,328,20,17,6200,8248,15,12,7480,4584,22,19,1864,8760,0.46,0.43,0.42,0.36,0.28,0.28
18,15,7992,6200,8,2,256,1800,18,15,968,3112,15,11,5544,3752,0.45,0.41,0.41,0.34,0.27,0.27
26,20,25456,17568,11,6,2792,1224,15,12,6200,176,8,2,6968,1544,0.63,0.46,0.36,0.34,0.3,0.29
8,2,2536,72,7,2,3496,144,26,20,30576,16416,5,0,1672,1064,0.63,0.42,0.32,0.31,0.27,0.29
18,15,1608,7224,7,2,5736,176,24,20,21384,15840,15,11,3752,2472,0.59,0.42,0.37,0.35,0.29,0.28
25,20,15840,17568,18,14,5992,8248,5,0,3496,680,4,0,1480,456,0.61,0.47,0.43,0.38,0.32,0.31
5,0,968,32,24,20,1608,5544,8,4,3624,552,4,0,3112,744,0.42,0.37,0.34,0.28,0.23,0.24
11,6,4264,1992,4,0,3240,776,18,14,2280,1256,24,20,27376,9912,0.52,0.41,0.38,0.33,0.28,0.27
5,0,3112,392,8,4,4264,1480,13,8,6456,3624,18,14,12216,11832,0.56,0.41,0.4,0.39,0.3,0.29
18,15,9912,9912,15,10,11064,4264,22,19,22152,10296,26,20,19848,18336,0.63,0.56,0.54,0.45,0.36,0.36
13,8,440,2088,4,0,904,120,7,2,3496,776,13,7,8760,2792,0.42,0.38,0.33,0.3,0.24,0.24
3,0,208,568,20,17,4392,13536,8,4,6968,1288,13,8,8248,5160,0.53,0.47,0.42,0.37,0.3,0.3
22,19,440,696,8,4,4776,2984,8,4,1800,1352,24,20,15840,4392,0.45,0.42,0.37,0.31,0.26,0.26
11,6,5992,4968,24,20,15264,8248,13,7,9528,4584,18,14,15264,1544,0.48,0.48,0.47,0.41,0.31,0.31
2,0,32,504,20,18,18336,9144,25,20,28336,11448,8,4,6456,1000,0.55,0.52,0.39,0.36,0.3,0.3
13,8,1128,4264,6,1,1032,600,15,9,10680,936,3,0,568,872,0.4,0.39,0.37,0.36,0.25,0.25
5,0,2984,1256,6,1,3496,568,13,8,6456,5736,13,8,7736,1928,0.47,0.45,0.4,0.39,0.29,0.29
10,4,5736,2472,20,17,10296,2472,5,0,504,936,8,2,6712,176,0.43,0.4,0.39,0.36,0.26,0.26
26,20,21384,16416,20,18,7480,6200,11,6,2280,5160,15,9,14112,1416,0.61,0.44,0.44,0.4,0.32,0.31
4,0,1992,224,15,12,2600,376,19,17,16416,5736,3,0,1928,1192,0.45,0.44,0.35,0.32,0.26,0.26
24,20,22920,18336,20,18,5992,1288,7,2,5992,744,4,0,488,616,0.63,0.4,0.38,0.36,0.3,0.29
18,14,4584,3112,20,17,19080,15264,5,0,2344,32,15,10,7224,4392,0.6,0.42,0.38,0.32,0.29,0.28
4,0,1736,392,8,4,5160,1992,22,19,6968,6712,6,1,4008,1608,0.45,0.42,0.42,0.37,0.28,0.28
24,20,19080,19080,8,2,2088,1544,18,15,15840,11064,18,14,12960,224,0.61,0.57,0.42,0.39,0.33,0.33
3,0,2536,424,7,2,3368,2216,15,11,10680,3112,24,20,16992,17568,0.61,0.46,0.42,0.41,0.32,0.31
4,0,1928,256,26,20,15840,11448,10,4,4264,2344,5,0,1128,968,0.53,0.41,0.41,0.35,0.28,0.28
4,0,1288,680,18,15,7992,10296,11,6,8760,3240,13,7,2984,4392,0.53,0.45,0.41,0.4,0.3,0.3
3,0,1736,1064,19,17,1416,12960,15,12,3496,9144,20,17,15264,15264,0.59,0.51,0.5,0.45,0.34,0.34
13,8,7736,1928,4,0,904,1288,5,0,2472,152,20,17,10680,7736,0.47,0.42,0.37,0.33,0.27,0.27
3,0,2664,680,13,8,4136,3624,8,4,4008,2472,13,8,7480,2984,0.43,0.42,0.42,0.4,0.28,0.28
8,2,4968,1800,22,19,11064,17568,15,11,4264,8760,11,6,872,712,0.59,0.5,0.46,0.33,0.31,0.31
13,7,10296,840,15,10,6968,2536,4,0,328,808,15,12,6456,176,0.38,0.38,0.38,0.35,0.25,0.25
15,11,3112,4264,25,20,14688,10680,7,2,5736,1992,15,9,12216,6712,0.51,0.51,0.46,0.42,0.31,0.32
4,0,2984,1064,3,0,616,904,24,20,4776,2344,15,10,840,7992,0.47,0.44,0.4,0.36,0.28,0.28
20,18,8248,9912,18,15,14688,7736,8,4,2088,2088,15,11,1992,1544,0.5,0.5,0.4,0.34,0.29,0.29
15,11,840,504,10,4,136,1192,13,7,3368,2984,24,20,4776,1160,0.38,0.34,0.33,0.31,0.23,0.22
11,6,6200,2472,15,9,13536,616,11,6,4776,3624,13,8,6456,5160,0.45,0.42,0.42,0.39,0.28,0.28
15,9,8504,6968,20,17,15264,6200,5,0,4264,32,18,15,14688,12960,0.61,0.49,0.48,0.35,0.32,0.32
19,17,12960,4968,13,8,8504,2984,13,7,11448,104,19,17,17568,13536,0.6,0.43,0.42,0.36,0.31,0.3
11,6,4584,4584,7,2,224,1544,18,15,7736,7224,7,2,5544,1544,0.46,0.45,0.44,0.4,0.29,0.29
20,18,2792,10296,8,2,3112,1672,15,11,1992,4008,20,17,4776,10296,0.49,0.48,0.43,0.38,0.29,0.3
10,4,7480,840,13,8,9912,5992,8,4,3112,2664,18,15,13536,5992,0.5,0.46,0.42,0.39,0.3,0.3
24,20,10680,3112,22,19,22920,7224,15,11,12960,7480,10,4,6200,1480,0.52,0.51,0.42,0.4,0.31,0.31
20,18,7224,9912,24,20,5992,6712,11,6,2984,2792,13,8,4136,968,0.49,0.41,0.4,0.35,0.28,0.27
15,10,7736,2216,8,2,2984,2216,15,11,2280,7480,25,20,28336,15264,0.61,0.49,0.44,0.39,0.32,0.32
18,15,13536,7992,15,10,9528,4392,7,2,2216,296,3,0,904,872,0.5,0.44,0.41,0.32,0.28,0.28
4,0,1480,176,5,0,4008,344,15,12,1128,7224,15,12,5544,4968,0.45,0.44,0.39,0.32,0.26,0.27
