mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
7,2,4968,1320,0.61
15,9,11832,3496,0.57
15,10,12216,2344,0.6
18,15,3880,5736,0.6
24,20,24496,17568,0.74
13,7,2280,328,0.66
8,2,6456,568,0.58
4,0,120,1032,0.69
4,0,1800,776,0.71
7,2,840,840,0.58
20,18,7480,328,0.54
8,2,2216,424,0.6
13,8,9912,536,0.51
25,20,2856,8248,0.73
15,10,1992,5160,0.66
13,8,11448,4776,0.56
5,0,2728,872,0.59
22,19,13536,2152,0.59
6,1,3112,1256,0.53
13,7,2472,3752,0.54
15,12,9528,4968,0.7
25,20,25456,10296,0.64
18,14,11448,10680,0.73
4,0,696,744,0.57
26,20,28336,5992,0.68
18,14,4264,6712,0.65
2,0,1320,1352,0.73
22,19,21384,7992,0.6
24,20,21384,1544,0.75
20,17,14688,6200,0.67
3,0,1416,1256,0.71
11,6,6200,1224,0.59
24,20,22152,5544,0.63
20,17,11832,280,0.67
22,19,11064,9144,0.67
3,0,2152,1384,0.62
15,12,256,3240,0.55
6,1,5160,24,0.64
15,10,6968,4392,0.74
11,6,4264,4136,0.66
6,1,4264,1416,0.55
13,7,3880,328,0.78
2,0,1288,32,0.52
15,9,7736,4008,0.73
2,0,176,840,0.6
15,9,10296,1256,0.55
22,19,3752,13536,0.6
15,10,4968,6968,0.67
18,14,10296,2024,0.53
22,19,19848,5736,0.66
20,18,2344,1288,0.63
15,12,6200,1800,0.56
18,14,12576,11064,0.69
8,2,6200,72,0.54
11,6,144,2408,0.72
15,12,552,9912,0.62
4,0,2792,1160,0.71
15,9,5736,6712,0.7
8,2,5992,520,0.6
11,6,504,4008,0.7
6,1,3368,88,0.54
15,9,7480,7224,0.64
20,18,8248,12216,0.66
25,20,22152,8248,0.6
19,17,15264,9528,0.65
8,4,808,120,0.64
18,14,1608,12576,0.61
10,4,6968,3112,0.57
15,9,5544,7224,0.57
5,0,224,56,0.65
18,14,13536,7736,0.66
15,10,7736,2536,0.67
5,0,3496,504,0.64
13,8,7992,4968,0.75
5,0,968,1352,0.62
15,9,2856,6712,0.58
2,0,2216,968,0.73
20,17,15264,10296,0.73
4,0,3240,744,0.67
11,6,8760,2472,0.61
13,7,11064,6200,0.65
18,14,15840,1800,0.66
18,14,1928,9912,0.7
15,12,8248,4776,0.57
20,17,3624,13536,0.64
15,10,7224,4392,0.58
6,1,4392,872,0.73
25,20,6968,12576,0.58
3,0,568,1032,0.54
13,8,5352,2344,0.66
15,12,5736,3496,0.69
5,0,2280,616,0.55
13,8,10296,2216,0.52
11,6,4584,1032,0.53
5,0,2280,600,0.61
15,11,6968,2472,0.53
3,0,2856,776,0.63
8,4,1544,1608,0.51
15,9,2600,3496,0.57
26,20,12960,17568,0.71
5,0,1736,32,0.62
8,4,1544,2856,0.7
24,20,17568,7992,0.57
15,11,8248,1928,0.55
8,2,3880,1480,0.59
15,12,4008,4776,0.64
6,1,3368,208,0.62
15,10,8504,5352,0.68
6,1,5160,256,0.76
15,11,12576,4968,0.6
11,6,3752,2408,0.65
3,0,2536,328,0.61
15,11,552,3496,0.62
15,10,3112,4584,0.64
13,8,2728,3496,0.58
5,0,3624,1192,0.68
25,20,25456,1544,0.64
15,9,9912,6968,0.63
15,10,9912,6968,0.61
10,4,7480,3240,0.57
8,2,4968,696,0.54
15,11,4968,1224,0.51
4,0,488,600,0.58
8,2,2536,840,0.66
5,0,2280,776,0.69
25,20,22152,2344,0.58
22,19,16416,14688,0.72
18,14,2984,2024,0.64
15,12,4968,6968,0.61
5,0,872,904,0.7
7,2,1320,328,0.48
18,14,16416,9144,0.72
15,9,14112,6712,0.67
2,0,1384,1064,0.65
18,15,632,4264,0.59
22,19,12576,4392,0.63
25,20,2280,8760,0.8
3,0,504,224,0.71
6,1,3112,1544,0.67
2,0,328,56,0.7
15,10,13536,4584,0.56
13,8,7224,5992,0.59
13,8,1128,536,0.8
13,7,3240,1224,0.55
2,0,2216,224,0.5
8,2,3112,1160,0.72
8,2,3752,376,0.53
13,8,6712,5160,0.63
11,6,4776,504,0.55
2,0,520,424,0.77
20,17,8248,4008,0.58
6,1,2216,208,0.62
3,0,568,840,0.62
22,19,9144,11448,0.6
7,2,5352,32,0.5
13,8,4968,3752,0.7
7,2,5544,1256,0.61
18,15,4264,10680,0.58
11,6,5992,2472,0.65
22,19,2344,10680,0.54
13,7,3880,2472,0.56
18,14,6712,3112,0.52
8,2,5160,144,0.6
15,10,7736,5736,0.72
18,15,7224,8760,0.67
19,17,11832,11064,0.74
25,20,25456,14688,0.7
10,4,5544,1416,0.68
6,1,712,808,0.58
4,0,2856,256,0.5
4,0,1352,152,0.58
15,10,1992,7992,0.63
8,4,4968,3240,0.61
20,17,2344,6200,0.66
15,12,9912,6200,0.59
15,9,3112,456,0.46
5,0,4392,1032,0.54
6,1,328,1736,0.73
15,10,3496,1544,0.72
22,19,15840,4392,0.54
6,1,4392,1192,0.52
20,17,2344,3112,0.54
11,6,6968,1992,0.56
20,17,13536,7224,0.7
25,20,12216,4776,0.55
2,0,696,224,0.59
10,4,3752,208,0.54
24,20,24496,12960,0.69
4,0,1480,208,0.67
24,20,9528,14112,0.64
5,0,4392,1256,0.61
26,20,15264,19848,0.74
25,20,28336,14112,0.75
19,17,11064,9912,0.67
19,17,11448,14112,0.71
5,0,4136,456,0.63
6,1,3880,1544,0.59
13,8,6712,1544,0.67
11,6,2472,3496,0.6
15,10,14112,2216,0.61
26,20,11064,7992,0.7
5,0,504,328,0.56
13,8,1352,5544,0.6
22,19,9144,14688,0.67
26,20,23688,5992,0.74
11,6,2088,712,0.72
22,19,11448,7480,0.55
13,8,9912,2344,0.54
15,10,11064,7224,0.67
2,0,1192,712,0.51
25,20,26416,13536,0.68
15,9,1128,7736,0.54
8,2,1800,1992,0.55
15,11,10680,1928,0.52
3,0,1992,32,0.71
7,2,584,1256,0.52
19,17,696,12576,0.74
6,1,4584,1128,0.59
15,9,7224,6200,0.56
3,0,1160,1064,0.72
25,20,12576,17568,0.74
8,4,3624,2856,0.57
5,0,3496,1256,0.53
3,0,1416,568,0.52
25,20,15264,376,0.73
2,0,1672,904,0.62
13,8,680,5736,0.54
20,17,5544,10296,0.6
20,17,14112,6968,0.71
8,4,3240,2216,0.74
26,20,9144,3112,0.58
4,0,696,680,0.6
4,0,2728,744,0.55
25,20,6968,4392,0.63
19,17,6456,10680,0.75
26,20,1800,9144,0.56
22,19,19848,4008,0.53
8,2,2216,872,0.75
8,2,6200,776,0.6
8,2,256,1384,0.54
13,8,4776,5544,0.61
20,17,19080,3624,0.69
18,15,8760,9528,0.71
4,0,1736,376,0.58
18,15,968,2280,0.69
13,8,2728,256,0.64
15,12,9528,5352,0.67
15,9,6200,776,0.6
20,17,7992,12576,0.67
15,9,7736,3368,0.7
24,20,11832,1544,0.56
26,20,25456,5992,0.73
8,2,1384,2152,0.59
8,2,5736,144,0.76
8,4,2344,776,0.73
8,4,6968,2472,0.6
15,10,4584,4776,0.67
15,11,5992,328,0.74
20,17,17568,3368,0.62
18,15,10680,5160,0.65
10,4,5736,2984,0.55
25,20,16992,16416,0.73
13,8,10680,3624,0.7
11,6,8504,5160,0.57
11,6,8504,2408,0.64
20,17,376,7224,0.51
2,0,208,424,0.58
13,8,1128,5992,0.53
2,0,1256,648,0.56
2,0,1736,744,0.63
20,17,18336,10296,0.71
20,18,1544,3624,0.54
3,0,744,1224,0.71
15,11,10680,5736,0.66
7,2,968,776,0.57
15,12,13536,584,0.63
18,14,12960,8504,0.63
18,14,9912,7992,0.6
8,4,5352,1544,0.55
25,20,5160,14688,0.65
15,11,1736,5160,0.7
15,9,4264,616,0.58
4,0,2344,1000,0.55
22,19,22152,14688,0.74
5,0,680,968,0.55
18,15,7480,10296,0.63
15,9,8760,4968,0.6
24,20,14688,14112,0.67
22,19,2344,16992,0.64
20,17,19080,6456,0.64
24,20,4264,8248,0.54
8,2,5736,1544,0.6
11,6,1736,1864,0.62
15,11,4008,6456,0.56
8,4,4584,208,0.68
11,6,4392,3880,0.64
15,12,2856,8248,0.69
24,20,11448,7224,0.58
3,0,1096,840,0.57
26,20,20616,18336,0.74
15,10,256,4392,0.58
7,2,2792,520,0.64
4,0,1480,152,0.62
13,7,6456,5544,0.59
15,11,13536,7992,0.67
18,14,16416,11448,0.69
25,20,3496,9528,0.55
2,0,1992,120,0.75
25,20,24496,4392,0.57
25,20,3496,12216,0.57
25,20,23688,19080,0.76
15,9,11064,6968,0.59
15,9,3112,7992,0.72
22,19,16416,2536,0.75
26,20,28336,16416,0.74
7,2,4776,208,0.56
26,20,22152,18336,0.77
3,0,1864,208,0.62
26,20,7992,3112,0.59
15,9,9144,4136,0.72
7,2,5352,1608,0.64
26,20,8504,11832,0.71
11,6,3752,5160,0.56
24,20,21384,9144,0.75
22,19,11448,12216,0.63
13,8,6712,3112,0.58
18,14,15840,11832,0.69
18,14,7480,9144,0.59
20,18,3112,5992,0.65
18,14,9912,2280,0.58
10,4,5992,1416,0.55
2,0,648,840,0.57
26,20,22920,12960,0.69
18,15,12216,1736,0.65
5,0,1544,344,0.49
13,7,5352,4008,0.78
13,8,7480,536,0.63
2,0,776,32,0.5
15,9,7480,5160,0.66
24,20,7480,5992,0.51
11,6,5736,4136,0.58
15,10,5992,7736,0.6
26,20,23688,5160,0.55
4,0,2792,568,0.69
15,9,6456,2536,0.68
7,2,1672,1416,0.67
13,8,10680,2216,0.59
15,11,1992,2472,0.7
20,17,9912,5736,0.54
15,12,13536,2792,0.56
20,18,776,6712,0.62
11,6,6968,328,0.52
18,14,8504,8760,0.6
15,11,10680,4264,0.58
15,9,7224,1096,0.69
18,14,6200,2856,0.59
26,20,1800,5992,0.69
19,17,7224,11832,0.62
15,10,6968,7224,0.59
2,0,1096,288,0.52
6,1,1352,176,0.68
18,15,15840,14112,0.7
26,20,10296,12960,0.61
26,20,1192,15264,0.62
15,12,13536,9528,0.69
10,4,6712,1544,0.63
26,20,26416,15840,0.74
4,0,632,1352,0.61
6,1,1224,488,0.58
8,2,1800,1192,0.64
3,0,2216,616,0.61
11,6,1032,1672,0.64
18,14,5544,9912,0.67
20,18,2344,12960,0.6
22,19,22152,1800,0.68
18,15,9528,9912,0.62
10,4,6712,56,0.66
11,6,2088,5160,0.56
2,0,1160,56,0.62
20,17,9528,15264,0.68
11,6,3752,3496,0.57
5,0,3752,16,0.63
20,18,1160,1928,0.68
26,20,16416,7992,0.59
15,10,8760,1256,0.56
6,1,3368,1736,0.59
4,0,1000,32,0.51
13,7,3880,2088,0.67
13,7,10296,2216,0.62
24,20,520,1544,0.54
18,15,13536,4008,0.56
15,11,5992,8760,0.61
20,17,13536,11832,0.69
18,15,6456,6968,0.55
15,10,5544,6712,0.65
3,0,2856,344,0.52
8,2,5544,1608,0.57
25,20,552,11064,0.66
15,11,11832,680,0.58
26,20,25456,7992,0.61
13,8,6456,2792,0.69
15,12,5160,2600,0.54
20,17,19848,14112,0.76
24,20,21384,15840,0.73
26,20,9912,4008,0.68
24,20,16992,12216,0.65
18,14,11832,3368,0.74
15,9,13536,616,0.56
13,7,5352,4008,0.66
20,18,15840,13536,0.71
18,15,13536,5160,0.69
18,15,632,3112,0.6
13,7,3368,1224,0.52
13,7,7736,1320,0.48
24,20,520,9912,0.64
8,2,6712,1800,0.66
18,14,7736,11832,0.77
24,20,22920,5992,0.58
22,19,2344,13536,0.59
18,15,16416,5544,0.6
13,7,9528,1224,0.53
20,18,7480,7224,0.65
8,4,4584,408,0.5
18,14,12576,11448,0.69
25,20,22152,13536,0.67
11,6,3112,4136,0.7
7,2,5352,1864,0.66
4,0,2984,376,0.56
15,9,840,2536,0.64
19,17,3624,9528,0.56
18,15,5544,13536,0.71
8,4,6456,552,0.75
7,2,3240,1256,0.63
22,19,10680,18336,0.71
6,1,1544,456,0.61
3,0,680,872,0.68
3,0,1480,616,0.58
8,2,1256,616,0.72
15,12,1128,7736,0.68
15,11,13536,3752,0.68
15,11,7992,504,0.66
7,2,5544,144,0.58
13,8,11064,256,0.55
22,19,20616,11448,0.67
7,2,4968,616,0.52
20,17,8248,6968,0.54
8,2,2216,1608,0.64
13,7,5736,4968,0.6
18,14,15264,3624,0.7
24,20,4776,16416,0.63
8,2,4584,520,0.54
3,0,2728,56,0.71
10,4,1544,1736,0.58
15,9,2856,4264,0.71
19,17,2152,7224,0.7
15,10,10296,7992,0.61
15,9,7992,6456,0.73
2,0,872,840,0.52
15,9,11448,2664,0.7
8,4,4968,2856,0.56
19,17,5736,5736,0.63
13,8,5992,3112,0.53
13,8,1800,4264,0.66
24,20,25456,15840,0.73
8,2,1384,1544,0.64
8,4,6200,1800,0.74
8,4,2344,2984,0.58
2,0,1544,1256,0.56
15,11,12216,504,0.67
10,4,4392,1128,0.69
6,1,4008,1352,0.7
13,8,8248,1800,0.69
7,2,2088,616,0.58
25,20,15264,8248,0.57
15,10,3496,4968,0.52
15,10,2600,4008,0.51
8,4,6712,2792,0.64
4,0,1736,744,0.58
13,7,2984,4584,0.56
3,0,2024,32,0.54
4,0,208,152,0.65
8,2,1928,32,0.56
13,7,10680,1480,0.71
18,15,3240,2600,0.73
5,0,1032,56,0.56
15,11,14112,504,0.74
15,10,12576,1736,0.55
20,18,11064,10680,0.66
15,10,6456,616,0.71
6,1,712,328,0.68
22,19,4136,6456,0.7
15,9,14112,6456,0.61
13,7,5992,3368,0.67
15,9,7224,3624,0.61
15,10,10680,7480,0.75
18,15,14688,11832,0.74
18,14,14112,3112,0.64
26,20,24496,12576,0.68
5,0,3752,840,0.66
13,7,5736,6200,0.71
15,10,12216,5160,0.58
13,8,6456,256,0.68
3,0,2856,808,0.72
7,2,2792,1800,0.51
15,11,4584,8248,0.73
7,2,1480,1864,0.62
15,10,2856,4584,0.52
15,10,11064,5736,0.59
2,0,968,208,0.67
6,1,712,1000,0.69
24,20,15840,17568,0.73
26,20,5544,16992,0.69
7,2,4968,520,0.61
5,0,4392,840,0.57
13,8,680,5736,0.5
15,11,13536,7992,0.65
18,15,7224,9528,0.7
20,18,11064,5160,0.69
24,20,24496,19080,0.76
10,4,3752,3112,0.57
15,11,7480,7480,0.7
24,20,24496,1544,0.6
18,15,8760,10680,0.63
18,14,11064,7992,0.6
7,2,5544,696,0.5
18,14,5544,7224,0.61
25,20,14112,1992,0.54
11,6,2984,504,0.61
15,10,7736,4392,0.52
24,20,6968,9144,0.62
3,0,2408,424,0.5
5,0,2856,1128,0.71
11,6,7992,4008,0.56
4,0,3496,256,0.75
26,20,27376,376,0.57
8,2,2344,328,0.68
15,11,6200,1384,0.62
25,20,25456,16992,0.77
8,2,1384,176,0.54
15,10,9912,2216,0.63
15,9,1128,4008,0.73
24,20,11832,15264,0.71
4,0,1544,536,0.75
24,20,15840,10296,0.64
4,0,2088,1000,0.58
19,17,10680,2472,0.71
6,1,1352,968,0.67
11,6,5992,2408,0.57
7,2,584,872,0.71
8,2,6456,1672,0.64
15,9,3112,3496,0.61
13,7,5736,4968,0.7
10,4,4264,1128,0.63
18,15,9912,4264,0.63
13,7,5992,3624,0.79
6,1,600,424,0.72
20,18,19080,12216,0.72
25,20,552,5544,0.7
7,2,584,72,0.52
20,17,14112,15264,0.72
15,11,1416,4584,0.72
15,11,7480,1544,0.74
20,18,4776,1928,0.69
6,1,2472,1160,0.6
5,0,1864,1096,0.63
8,2,968,1608,0.71
19,17,12216,10680,0.64
5,0,2728,224,0.53
15,12,1416,1608,0.62
13,8,3880,6456,0.58
13,7,2728,3368,0.62
2,0,872,968,0.6
26,20,16992,12960,0.7
7,2,5160,2152,0.59
26,20,3624,19080,0.66
15,9,7224,7224,0.76
18,14,11064,1000,0.53
3,0,2024,712,0.6
3,0,2472,328,0.57
15,11,2280,1384,0.62
15,12,11832,4776,0.54
8,2,4008,1480,0.54
4,0,1064,872,0.59
6,1,3368,1384,0.55
7,2,3880,776,0.65
22,19,904,1416,0.62
20,18,776,15840,0.7
11,6,680,1544,0.61
20,17,19080,6200,0.75
15,9,9912,296,0.53
22,19,9144,13536,0.68
20,18,11064,15264,0.71
3,0,872,1160,0.64
26,20,17568,4392,0.56
8,4,4968,120,0.65
7,2,2792,776,0.64
15,11,9528,5736,0.65
18,14,632,7992,0.62
15,9,5736,3752,0.68
15,10,6968,5544,0.54
26,20,25456,8760,0.62
13,7,208,2088,0.6
15,11,5544,2472,0.56
24,20,24496,8760,0.62
3,0,2344,152,0.51
19,17,1800,5736,0.56
15,9,5544,456,0.64
18,14,5160,2024,0.56
15,9,2856,2344,0.5
20,17,2344,10296,0.6
10,4,2984,56,0.57
18,14,2280,11448,0.69
26,20,1192,8760,0.73
13,8,2472,6200,0.71
3,0,1224,504,0.5
7,2,4584,472,0.59
18,14,6712,9912,0.67
15,12,6200,9528,0.62
15,12,12960,7480,0.65
4,0,1192,176,0.57
15,11,1736,4264,0.6
25,20,6968,5544,0.62
20,18,4776,12576,0.69
19,17,2152,11832,0.62
18,15,8760,1992,0.55
24,20,16992,17568,0.73
24,20,16416,10680,0.62
22,19,4136,15264,0.65
4,0,1544,32,0.58
13,8,6200,2984,0.66
15,11,13536,1736,0.69
24,20,4776,8248,0.55
2,0,208,88,0.57
26,20,28336,2792,0.61
22,19,4136,4008,0.65
5,0,600,1096,0.64
3,0,2344,1288,0.61
22,19,14688,12576,0.73
8,4,2344,1128,0.59
18,14,2280,1544,0.71
8,2,4776,936,0.49
26,20,16992,2344,0.54
18,15,6712,7480,0.63
20,17,15264,6968,0.76
19,17,12960,13536,0.69
15,10,12216,4392,0.61
15,11,7992,504,0.64
13,8,8504,3112,0.6
2,0,776,488,0.54
6,1,3368,632,0.7
24,20,2664,13536,0.61
8,2,2792,568,0.5
24,20,9144,7480,0.57
3,0,904,504,0.57
15,11,12216,7480,0.63
15,9,840,2344,0.69
2,0,968,1288,0.53
18,15,328,4264,0.51
7,2,1800,328,0.54
24,20,9528,14112,0.64
15,11,12960,2984,0.56
13,8,10680,120,0.67
8,4,1384,3368,0.67
24,20,5352,7480,0.72
2,0,568,1032,0.73
19,17,12216,14112,0.69
7,2,3496,208,0.49
24,20,7480,12576,0.58
15,10,8248,6200,0.7
15,11,1416,1928,0.65
15,11,6456,7224,0.6
15,12,9528,4264,0.65
5,0,328,16,0.56
7,2,4584,72,0.53
19,17,17568,12216,0.69
18,15,7992,14112,0.66
25,20,14688,2792,0.59
2,0,2088,568,0.63
8,2,3752,1288,0.54
15,11,6456,7736,0.78
20,18,18336,9528,0.66
5,0,1480,936,0.55
18,14,14112,11064,0.7
15,11,1128,2664,0.69
13,8,11064,120,0.61
18,15,9912,7992,0.6
11,6,5992,2408,0.66
15,9,4584,2856,0.7
4,0,2344,712,0.7
24,20,520,12216,0.6
11,6,2280,4584,0.61
20,18,15264,13536,0.7
13,8,2024,2984,0.56
25,20,12216,2792,0.71
15,11,7736,3880,0.69
15,9,6456,5736,0.67
15,12,8760,8760,0.67
7,2,1608,1736,0.5
19,17,16992,1224,0.64
4,0,56,328,0.68
4,0,840,1000,0.75
2,0,176,648,0.6
2,0,1736,680,0.56
22,19,440,11064,0.67
15,11,5160,3368,0.64
19,17,16992,1544,0.5
20,18,15840,7992,0.69
10,4,136,3624,0.55
10,4,4264,632,0.63
25,20,2856,4392,0.53
15,12,12216,1608,0.77
18,14,13536,488,0.76
18,14,7736,9144,0.71
13,8,9144,2344,0.61
8,4,3112,552,0.6
15,10,4584,456,0.63
8,4,2344,3496,0.69
11,6,4968,5160,0.63
15,10,552,4264,0.6
15,9,8760,3752,0.52
7,2,3880,1064,0.54
15,10,14112,1096,0.58
15,12,8504,3496,0.75
18,15,4968,1992,0.53
18,14,4968,7224,0.61
15,9,6200,3496,0.57
15,10,10296,7736,0.69
13,8,5544,1544,0.59
15,12,5160,7480,0.6
11,6,6200,3368,0.59
20,18,7480,11064,0.61
5,0,4008,712,0.58
6,1,256,88,0.59
11,6,8760,3880,0.59
5,0,3112,1256,0.59
5,0,144,1096,0.57
22,19,19848,12216,0.67
15,11,7480,1224,0.53
5,0,3752,536,0.76
20,17,3624,904,0.66
15,12,12960,8760,0.68
13,8,6712,6456,0.58
7,2,6200,328,0.56
13,7,7992,2664,0.55
13,8,5544,6456,0.58
2,0,296,616,0.54
24,20,9144,1992,0.57
18,15,328,7992,0.58
26,20,7992,4776,0.64
22,19,5544,9528,0.54
15,9,5544,136,0.73
15,12,7992,776,0.71
13,8,680,2984,0.51
26,20,3624,10296,0.66
4,0,696,208,0.49
22,19,13536,10296,0.72
4,0,2984,968,0.53
5,0,1544,1256,0.71
15,9,12960,5992,0.58
8,2,3496,1800,0.6
19,17,9528,13536,0.71
19,17,18336,1544,0.7
22,19,14112,16416,0.72
10,4,776,328,0.67
5,0,872,840,0.63
11,6,7224,2600,0.68
25,20,7992,14112,0.65
6,1,1992,632,0.59
15,11,2856,144,0.61
24,20,19848,9912,0.61
24,20,24496,11832,0.68
10,4,1544,1064,0.53
20,17,3112,15264,0.66
8,4,6968,1480,0.61
20,17,16992,5736,0.66
3,0,328,1128,0.64
6,1,936,632,0.49
8,4,1672,1736,0.65
26,20,3624,18336,0.73
15,9,8504,2664,0.71
26,20,22152,10680,0.65
11,6,6712,712,0.56
24,20,25456,14112,0.71
15,10,12576,4136,0.71
3,0,2344,680,0.51
15,12,2280,3496,0.56
13,7,2280,2344,0.57
11,6,5992,2280,0.68
26,20,27376,5160,0.58
5,0,4392,424,0.55
5,0,600,32,0.77
18,15,968,1416,0.68
8,2,2536,696,0.56
2,0,1864,392,0.52
5,0,4392,968,0.56
2,0,2088,392,0.56
20,18,1992,16416,0.63
4,0,1608,424,0.69
2,0,616,1256,0.63
15,9,9528,456,0.58
22,19,20616,7992,0.69
2,0,568,1192,0.61
13,8,6456,4584,0.56
15,12,11064,2600,0.55
15,12,12960,5736,0.72
18,15,7992,7224,0.58
4,0,208,56,0.57
15,10,3112,6200,0.69
18,15,968,12960,0.61
18,15,9528,14112,0.71
7,2,2344,1928,0.69
20,17,19080,2728,0.67
10,4,1864,2472,0.58
26,20,1800,15840,0.67
13,7,3624,2472,0.63
15,11,2856,4264,0.67
15,11,2600,2088,0.75
5,0,1384,776,0.67
26,20,11448,12576,0.64
11,6,4968,4392,0.55
20,17,10296,3112,0.64
24,20,24496,3112,0.54
4,0,2856,456,0.65
15,9,12216,3496,0.65
10,4,1544,2408,0.63
15,10,3752,7480,0.6
5,0,4136,936,0.57
6,1,4136,968,0.69
15,12,12576,9144,0.68
26,20,6712,19848,0.7
24,20,17568,4008,0.53
13,7,6200,840,0.58
8,4,392,3496,0.64
24,20,19080,5544,0.64
19,17,1800,904,0.54
5,0,4136,712,0.54
15,11,1992,8248,0.74
18,15,1928,14112,0.72
8,2,3496,1384,0.7
7,2,4584,936,0.61
20,18,18336,6456,0.59
13,7,680,2536,0.5
8,2,3752,2024,0.58
15,10,13536,7480,0.63
25,20,2280,7992,0.66
19,17,11832,11832,0.67
26,20,26416,9144,0.67
18,15,6456,12960,0.71
22,19,22152,7992,0.64
22,19,16992,11448,0.7
10,4,5736,2344,0.56
11,6,1544,5160,0.55
8,4,2664,2728,0.54
5,0,2856,16,0.58
13,7,440,3624,0.77
15,12,9144,9912,0.65
15,9,7480,1864,0.75
25,20,11064,9912,0.57
15,12,11832,584,0.59
15,10,10680,936,0.6
24,20,13536,5544,0.59
15,12,12576,2600,0.59
20,18,2344,4264,0.51
19,17,5160,6712,0.56
8,2,968,968,0.53
25,20,3496,5160,0.73
13,8,5992,4968,0.59
26,20,8504,10296,0.57
13,7,7736,1928,0.7
8,4,5544,2664,0.55
5,0,1736,840,0.66
22,19,10680,14688,0.67
5,0,3368,488,0.58
8,2,808,296,0.69
15,11,5992,4008,0.57
6,1,4968,1160,0.56
13,7,6712,3368,0.58
15,12,552,2600,0.59
8,2,5992,1928,0.74
26,20,22920,19848,0.77
20,17,10680,10296,0.67
3,0,2600,744,0.55
18,14,5544,224,0.65
8,4,1544,1064,0.58
8,4,6200,696,0.63
18,14,5992,10296,0.72
10,4,776,2408,0.56
15,9,3112,2216,0.72
5,0,224,392,0.54
13,8,1352,1544,0.56
3,0,1256,680,0.72
10,4,6712,1736,0.58
4,0,2984,488,0.59
3,0,1800,1032,0.65
13,8,5736,808,0.59
13,8,8760,6456,0.71
8,2,5160,1320,0.66
5,0,2216,32,0.57
15,10,2856,5160,0.52
15,12,1128,1384,0.54
13,7,3624,104,0.7
3,0,440,776,0.56
4,0,696,208,0.61
6,1,4136,1160,0.58
13,7,6712,5160,0.6
24,20,6456,2792,0.65
10,4,4968,3624,0.6
8,2,392,1672,0.55
20,18,12576,7992,0.64
8,2,3112,840,0.56
15,11,1128,872,0.73
11,6,7736,1480,0.54
18,15,7992,4968,0.62
3,0,1096,504,0.57
6,1,5160,568,0.58
15,9,7224,2856,0.52
13,7,11064,5544,0.66
5,0,3752,1128,0.54
6,1,1736,1160,0.61
26,20,7992,8248,0.69
13,7,2472,2536,0.51
10,4,5160,3112,0.57
2,0,296,712,0.52
18,14,15264,11448,0.82
15,9,3112,7992,0.63
13,8,2472,1544,0.57
8,2,1096,1800,0.59
11,6,8248,3752,0.55
4,0,3112,120,0.54
25,20,27376,18336,0.78
8,4,2344,1736,0.52
11,6,3880,2216,0.67
13,8,9144,2984,0.59
11,6,2472,176,0.5
24,20,4264,16992,0.67
19,17,17568,3624,0.67
5,0,144,712,0.5
24,20,10680,9528,0.58
8,2,4968,936,0.62
26,20,20616,11064,0.65
15,12,1736,8504,0.7
3,0,2152,32,0.74
15,12,12960,584,0.68
13,8,2728,968,0.58
3,0,1672,568,0.67
24,20,18336,5992,0.64
20,18,19080,7480,0.72
15,11,8760,8760,0.67
2,0,1288,288,0.76
8,2,1928,1064,0.64
7,2,1224,1544,0.64
8,4,2664,3240,0.7
2,0,1256,776,0.52
26,20,23688,376,0.6
8,4,536,2664,0.69
25,20,22920,6200,0.6
13,7,8248,1608,0.7
20,18,14688,10296,0.64
26,20,11064,4392,0.58
24,20,17568,16992,0.72
18,15,5992,9528,0.6
20,18,16416,11064,0.67
3,0,504,344,0.52
13,7,4776,2088,0.61
15,10,9144,6456,0.59
25,20,26416,14112,0.72
13,7,5736,5352,0.55
8,4,4968,120,0.64
25,20,1128,14688,0.6
13,8,9912,4584,0.72
26,20,1192,6200,0.57
22,19,18336,11064,0.65
18,14,12216,1256,0.65
11,6,4264,2088,0.63
18,15,7992,8760,0.59
10,4,2536,2728,0.54
19,17,7480,1544,0.75
2,0,424,1192,0.62
4,0,488,1160,0.75
10,4,4264,840,0.73
3,0,2856,776,0.58
13,7,9144,1672,0.53
20,17,15264,1224,0.69
26,20,28336,12960,0.72
6,1,2984,1416,0.7
15,12,5160,9528,0.74
18,14,16416,9912,0.78
25,20,19848,11064,0.65
15,12,552,2984,0.77
2,0,208,568,0.59
5,0,2984,1032,0.6
11,6,5736,2216,0.54
3,0,504,120,0.53
11,6,4968,2472,0.72
15,12,13536,6200,0.72
10,4,6200,3240,0.73
6,1,3496,1544,0.57
25,20,12960,16992,0.7
5,0,2792,1256,0.71
13,8,7736,1256,0.5
13,8,7224,6968,0.57
10,4,7480,3240,0.72
11,6,6712,1992,0.6
11,6,4264,392,0.74
2,0,1192,1032,0.66
15,10,11064,616,0.51
18,15,16416,12576,0.72
26,20,9912,16416,0.8
18,15,14112,1128,0.72
18,15,968,2280,0.62
13,7,8504,3496,0.68
6,1,1992,144,0.5
26,20,9144,11448,0.58
20,17,8760,9528,0.61
15,12,3112,1608,0.47
3,0,1224,808,0.63
13,7,6200,1224,0.56
15,12,3496,9528,0.61
15,11,9144,504,0.62
26,20,22152,17568,0.76
11,6,3368,3880,0.56
19,17,10296,14688,0.71
7,2,1608,616,0.64
15,12,7992,776,0.59
