mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_1
15,9,11448,936,0.58
13,8,10296,6200,0.77
15,10,5992,2344,0.54
7,2,328,776,0.7
8,2,5544,1384,0.6
15,10,6456,4968,0.7
22,19,5544,4776,0.57
22,19,17568,14688,0.75
11,6,7480,2408,0.67
7,2,472,2216,0.61
18,15,4584,256,0.55
19,17,18336,12576,0.71
13,8,6200,3112,0.67
20,18,6200,7736,0.54
15,9,2280,6968,0.6
20,18,14112,8760,0.76
26,20,12216,10680,0.58
10,4,4776,1736,0.57
5,0,424,1288,0.53
25,20,13536,16416,0.71
7,2,1224,872,0.53
25,20,25456,12576,0.69
13,7,1352,1096,0.7
10,4,7736,2984,0.64
25,20,9912,11832,0.6
6,1,2216,1672,0.68
25,20,14112,11832,0.67
4,0,488,328,0.53
25,20,26416,9912,0.66
15,11,256,2280,0.79
3,0,176,840,0.5
18,15,6200,1992,0.56
13,8,3624,5160,0.71
22,19,1384,7480,0.61
19,17,3240,11448,0.59
5,0,424,1096,0.56
15,10,10296,2344,0.59
13,8,10680,6200,0.6
7,2,5736,144,0.56
10,4,5160,1000,0.76
15,11,5544,5544,0.61
3,0,968,936,0.59
26,20,26416,11448,0.67
22,19,12960,10680,0.68
22,19,22152,6456,0.65
4,0,2344,808,0.54
2,0,1864,1160,0.64
2,0,1800,1032,0.54
15,11,14112,504,0.63
15,10,5160,6712,0.78
3,0,1096,1352,0.69
7,2,5736,616,0.68
19,17,16992,7736,0.62
15,12,6200,1608,0.6
7,2,2344,32,0.75
19,17,10296,7224,0.6
19,17,8248,9528,0.58
15,12,1736,5992,0.73
24,20,12960,4392,0.62
15,11,8504,2472,0.62
15,10,8248,296,0.59
4,0,2984,616,0.65
15,9,4008,4392,0.65
18,14,14112,12576,0.7
6,1,2216,1192,0.67
26,20,584,12960,0.58
20,18,19080,7992,0.63
20,18,13536,7736,0.61
20,17,11448,9528,0.63
19,17,6456,13536,0.66
13,7,4392,3368,0.69
22,19,16992,11832,0.65
2,0,1800,120,0.56
11,6,1224,176,0.72
18,15,7224,3112,0.58
18,14,328,12216,0.67
19,17,15840,7224,0.68
15,12,3112,5992,0.54
20,18,1160,11832,0.58
13,7,11064,4584,0.62
8,4,5544,2152,0.71
24,20,7992,12960,0.6
22,19,12216,14688,0.7
24,20,11832,5160,0.61
5,0,872,936,0.69
10,4,5544,56,0.7
19,17,13536,14688,0.72
15,12,6200,176,0.6
6,1,2792,1800,0.69
3,0,1160,152,0.54
15,12,7224,4968,0.65
20,17,18336,1224,0.59
15,11,4968,2472,0.63
5,0,3496,808,0.66
13,8,440,3880,0.55
